date,close,log_ret,rv_5,rv_10,rv_20,rv_60,target
2024-04-03,3.347,-0.004174126513779132,0.166594570651822,0.16135467585039076,0.1444313352207962,0.20315685450470428,0.18795803405913789
2024-04-08,3.318,-0.00870223046093677,0.1965848616759353,0.16897089974892926,0.14732787013241774,0.20429743082583876,0.1866962127244301
2024-04-09,3.312,-0.0018099552452395303,0.19337898924849187,0.16035932156048802,0.14692939949131442,0.20276476407173158,0.18606731051014663
2024-04-10,3.286,-0.007881216907936845,0.056248147594715525,0.16371190003663771,0.13499885702381953,0.2033273694303342,0.18126530007468356
2024-04-11,3.283,-0.000913381095620723,0.06693921666716095,0.16148270473304732,0.1344499783857481,0.19935057758057045,0.18158671676931937
2024-04-12,3.255,-0.008565362858923046,0.07396038757143181,0.15462921409967773,0.13641559873176393,0.20073609671388778,0.1805108421064293
2024-04-15,3.328,0.022179247298429593,0.2397078493758728,0.2067458359282361,0.1691660844953143,0.2068212336966551,0.15724360517051286
2024-04-16,3.296,-0.009661910911736859,0.25576675658640113,0.2139091411787104,0.17329865728908675,0.208238084117465,0.15501368223176007
2024-04-17,3.342,0.013859818125976727,0.2692470555693707,0.20281733998857104,0.1794912158326565,0.21023131993472471,0.14636523190539377
2024-04-18,3.348,0.0017937224540269007,0.26628552048983795,0.20257108689233022,0.17749525435358662,0.21012177346868205,0.14816455632375586
2024-04-19,3.32,-0.008398369698831717,0.26557385692429686,0.20732527464947584,0.1808536969733424,0.21101971324386629,0.14109314226337016
2024-04-22,3.313,-0.002110659610638235,0.18113757422967944,0.2008732274655838,0.18096656219144597,0.20105960680258003,0.1506179235205799
2024-04-23,3.288,-0.007574646123825404,0.17260517223944144,0.20576392916523958,0.1795601373269076,0.19951865952623804,0.1569732371212084
2024-04-24,3.302,0.00424886830400275,0.10664423559422771,0.20166981394301128,0.1791508885475376,0.1996425577909808,0.15966857331165354
2024-04-25,3.312,0.003023891025076919,0.11147566807728967,0.20196466241041536,0.17904700516765412,0.19036173151344932,0.16360136568042571
2024-04-26,3.362,0.014983798463410782,0.16039472318970158,0.20734206375798697,0.18241040066614483,0.19269166968736973,0.15155912054913834
2024-04-29,3.405,0.012708904615051793,0.17102717465160383,0.17807812297997963,0.18830828203722638,0.19099672569419077,0.14239502661709394
2024-04-30,3.387,-0.00530036576584094,0.15559635951624873,0.16786564803313053,0.18991379137725198,0.18728500889405122,0.1416983256336993
2024-05-06,3.437,0.014654424032062126,0.17004740199778912,0.17005785197926804,0.18578867379238803,0.18993872259401495,0.1253340867728478
2024-05-07,3.439,0.0005817335824323323,0.17769529842765022,0.1705066040998782,0.18469897230584503,0.1878398993079051,0.13014325364004825
2024-05-08,3.41,-0.008468440154703676,0.19951253178009346,0.1706916959733027,0.18795803405913789,0.18283102730574444,0.12617328249725068
2024-05-09,3.445,0.010211613170196462,0.18910457045339715,0.17290132226899943,0.1866962127244301,0.18255761249875518,0.11700148659562878
2024-05-10,3.447,0.0005803830691065474,0.17346384968934084,0.15725013965224535,0.18606731051014663,0.1823870323401883,0.11951922569750272
