method,alpha,sigma,mse,timestamp
grid_search,0.9800000000000004,0.18999999999999997,2.6034372887274984e-05,2026-08-06 13:27:39.960466
nelder_mead,0.9999994125444958,0.19302276384127018,2.3301007896729738e-05,2026-08-06 13:27:39.960466
black_scholes,1.0,0.193046875,2.3300936624185173e-05,2026-08-06 13:27:39.960466
