date,open,high,low,close,volume
2024-08-05 13:30:00,511.6400146484375,523.5800170898438,510.2699890136719,517.3800048828125,146267400
2024-08-06 13:30:00,519.219970703125,529.75,517.8699951171875,522.1500244140625,84826300
2024-08-07 13:30:00,528.469970703125,531.5900268554688,518.0499877929688,518.6599731445312,70698300
2024-08-08 13:30:00,523.9099731445312,531.2899780273438,521.8400268554688,530.6500244140625,63276600
2024-08-09 13:30:00,529.8099975585938,534.510009765625,528.5599975585938,532.989990234375,45619600
2024-08-12 13:30:00,534.2100219726562,535.72998046875,530.9500122070312,533.27001953125,42542100
2024-08-13 13:30:00,536.530029296875,542.280029296875,536.280029296875,542.0399780273438,52333100
2024-08-14 13:30:00,542.8499755859375,544.9600219726562,540.1199951171875,543.75,42446900
2024-08-15 13:30:00,549.5,553.3599853515625,548.8800048828125,553.0700073242188,60846800
2024-08-16 13:30:00,551.4199829101562,555.02001953125,551.260009765625,554.3099975585938,44430700
2024-08-19 13:30:00,554.72998046875,559.6099853515625,553.8599853515625,559.6099853515625,39121800
2024-08-20 13:30:00,559.1500244140625,560.8400268554688,557.3300170898438,558.7000122070312,33732300
2024-08-21 13:30:00,559.77001953125,562.1099853515625,554.72998046875,560.6199951171875,41514600
2024-08-22 13:30:00,562.5599975585938,563.1799926757812,554.97998046875,556.219970703125,56121500
2024-08-23 13:30:00,559.530029296875,563.0900268554688,557.2899780273438,562.1300048828125,50639400
2024-08-26 13:30:00,563.1799926757812,563.9099731445312,559.0499877929688,560.7899780273438,35788600
2024-08-27 13:30:00,559.489990234375,562.0599975585938,558.3200073242188,561.5599975585938,32693900
2024-08-28 13:30:00,561.2100219726562,561.6500244140625,555.0399780273438,558.2999877929688,41066000
2024-08-29 13:30:00,560.3099975585938,563.6799926757812,557.1799926757812,558.3499755859375,38715200
2024-08-30 13:30:00,560.77001953125,564.2000122070312,557.1400146484375,563.6799926757812,62700100
2024-09-03 13:30:00,560.469970703125,560.8099975585938,549.510009765625,552.0800170898438,60600100
2024-09-04 13:30:00,550.2000122070312,554.4299926757812,549.4600219726562,550.9500122070312,47224900
2024-09-05 13:30:00,550.8900146484375,553.7999877929688,547.0999755859375,549.6099853515625,44264300
2024-09-06 13:30:00,549.9400024414062,551.5999755859375,539.4400024414062,540.3599853515625,68493800
2024-09-09 13:30:00,544.6500244140625,547.7100219726562,542.6799926757812,546.4099731445312,40445800
2024-09-10 13:30:00,548.3599853515625,549.1500244140625,543.3800048828125,548.7899780273438,36394600
2024-09-11 13:30:00,548.7000122070312,555.3599853515625,539.9600219726562,554.4199829101562,75248600
2024-09-12 13:30:00,555.010009765625,559.4000244140625,552.739990234375,559.0900268554688,51819600
2024-09-13 13:30:00,559.7100219726562,563.030029296875,559.4500122070312,562.010009765625,39310500
2024-09-16 13:30:00,561.739990234375,563.1099853515625,559.9000244140625,562.8400268554688,36656100
2024-09-17 13:30:00,565.0999755859375,566.5800170898438,560.7899780273438,563.0700073242188,49321000
2024-09-18 13:30:00,563.739990234375,568.6900024414062,560.8300170898438,561.4000244140625,59044900
2024-09-19 13:30:00,571.010009765625,572.8800048828125,568.0800170898438,570.97998046875,75315500
2024-09-20 13:30:00,567.8400268554688,569.3099975585938,565.1699829101562,568.25,77503100
2024-09-23 13:30:00,569.3400268554688,570.3300170898438,568.0999755859375,569.6699829101562,44116900
2024-09-24 13:30:00,570.47998046875,571.3599853515625,567.5999755859375,571.2999877929688,46805700
2024-09-25 13:30:00,571.1400146484375,571.8900146484375,568.9099731445312,570.0399780273438,38428600
2024-09-26 13:30:00,574.3800048828125,574.7100219726562,569.9000244140625,572.2999877929688,48336000
2024-09-27 13:30:00,573.3900146484375,574.219970703125,570.4199829101562,571.469970703125,42100900
2024-09-30 13:30:00,570.4199829101562,574.3800048828125,568.0800170898438,573.760009765625,63557400
2024-10-01 13:30:00,573.4000244140625,574.0599975585938,566.0,568.6199951171875,72668800
2024-10-02 13:30:00,567.7100219726562,569.9000244140625,565.27001953125,568.8599853515625,38097800
