date,pred_vol,hist_vol,ewma_vol,actual_vol,pred_err,hist_err,ewma_err,dir_correct
2026-02-11,0.23192439557480374,0.17115563546146287,0.18025485808419836,0.1560746069346669,0.07584978864013683,0.015081028526795964,0.024180251149531456,False
2026-02-12,0.23329773934104908,0.16931433787588093,0.17442843617072792,0.15651165908786205,0.07678608025318703,0.012802678788018884,0.017916777082865876,False
2026-02-13,0.22954818089051066,0.1691227344484203,0.16853873983969428,0.20070585312789058,0.02884232776262008,0.03158311867947028,0.0321671132881963,True
2026-02-24,0.24235916911942704,0.17594232373162783,0.17313198615034425,0.20244327847899019,0.03991589064043685,0.02650095474736236,0.029311292328645933,True
2026-02-25,0.22400532100141837,0.18133080872811805,0.1738226433686919,0.21129416800097248,0.012711153000445896,0.02996335927285443,0.03747152463228057,True
2026-02-26,0.2255163298674785,0.18356431624632352,0.17161677889454638,0.2157274530497136,0.009788876817764885,0.032163136803390086,0.04411067415516723,True
2026-02-27,0.22971709283470598,0.18407865710453303,0.16650678540496092,0.21786726619367902,0.011849826641026961,0.03378860908914599,0.051360480788718105,True
2026-03-02,0.23048555268852475,0.18429320284895698,0.1611742371592379,0.21658586696171736,0.013899685726807387,0.03229266411276038,0.05541162980247946,True
2026-03-03,0.2212972157452844,0.1833643958720087,0.1563696837995501,0.2131677695428637,0.008129446202420704,0.029803373670855005,0.0567980857433136,True
2026-03-04,0.23772548153199494,0.19181715315250578,0.16406293776784042,0.21901598623242724,0.018709495299567697,0.027198833079921464,0.05495304846458682,True
2026-03-05,0.2464627606671857,0.2012892000922485,0.17422681114535615,0.21716285145357936,0.02929990921360634,0.01587365136133087,0.042936040308223206,True
2026-03-06,0.23631839687449713,0.20561797045691374,0.17472208935791375,0.217583869877879,0.018734526996618123,0.011965899420965265,0.042861780519965254,True
2026-03-09,0.24136535222027553,0.2015724334095502,0.16933291879393733,0.21599551370367162,0.025369838516603904,0.014423080294121426,0.04666259490973429,True
2026-03-10,0.24794606884626624,0.1981943172443496,0.16848510199911837,0.26112702389689474,0.013180955050628496,0.06293270665254513,0.09264192189777637,True
2026-03-11,0.23052116516284996,0.1758758141546516,0.1725519364628114,0.26030217134597117,0.02978100618312121,0.08442635719131958,0.08775023488315978,True
2026-03-12,0.22524746637509532,0.16780354657170754,0.1692598786969562,0.26959923979990685,0.04435177342481153,0.10179569322819931,0.10033936110295066,True
2026-03-13,0.2303304376439576,0.1639522566549846,0.16446829215090505,0.269465077036604,0.039134639392646386,0.10551282038161938,0.10499678488569894,True
2026-03-16,0.23278279201632518,0.1626547173042688,0.15987538911320917,0.2752116576267863,0.04242886561046111,0.11255694032251748,0.11533626851357712,True
2026-03-17,0.22654966797827963,0.16008556528155585,0.1544619834205954,0.2737602053167376,0.04721053733845798,0.11367464003518177,0.11929822189614223,True
2026-03-18,0.23026468492756136,0.1452098446544511,0.15349363696509358,0.2772083270143659,0.046943642086804516,0.13199848235991476,0.1237146900492723,True
2026-03-19,0.2206495348268714,0.14611486013790842,0.14923615582518882,0.2697642366338352,0.049114701806963784,0.12364937649592678,0.12052808080864638,True
2026-03-20,0.24053390405999667,0.1560746069346669,0.1590745335369694,0.2686174573027752,0.02808355324277853,0.1125428503681083,0.1095429237658058,True
2026-03-23,0.2376037259362175,0.15651165908786205,0.15564233949634698,0.21954510656528528,0.018058619370932227,0.06303344747742323,0.0639027670689383,True
2026-03-24,0.25464364728698746,0.20070585312789058,0.2197776322634261,0.21776332004931637,0.036880327237671096,0.01705746692142579,0.0020143122141097203,True
2026-03-25,0.24243352105793703,0.20244327847899019,0.21914668884751265,0.2133541660276255,0.029079355030311532,0.010910887548635312,0.0057925228198871526,True
2026-03-26,0.23424175913627124,0.21129416800097248,0.22334546981727857,0.20471482910885844,0.0295269300274128,0.0065793388921140394,0.018630640708420132,False
2026-03-27,0.2555311423392393,0.2157274530497136,0.22427958137424464,0.20506427805362326,0.05046686428561603,0.010663174996090347,0.01921530332062138,False
2026-03-30,0.24308098400922845,0.21786726619367902,0.21775228106013997,0.20541415371144292,0.03766683029778553,0.0124531124822361,0.012338127348697048,False
2026-03-31,0.2498234699645075,0.21658586696171736,0.21051807332085534,0.20149652921072145,0.048326940753786046,0.015089337750995913,0.009021544110133894,False
2026-04-01,0.2525359387547484,0.2131677695428637,0.20740342216066496,0.19454873290975994,0.057987205844988454,0.01861903663310377,0.012854689250905021,False
2026-04-02,0.21778663204558302,0.21901598623242724,0.21499910177649034,0.18974238965848345,0.02804424238709957,0.029273596573943794,0.025256712118006897,True
2026-04-03,0.24678698676053037,0.21716285145357936,0.21345018261323312,0.18179339592192403,0.06499359083860634,0.035369455531655325,0.031656786691309086,False
2026-04-07,0.2498416366857558,0.217583869877879,0.2097795754006622,0.18486725210380772,0.06497438458194807,0.03271661777407128,0.02491232329685447,False
