date,close
2018-01-02,2.907
2018-01-03,2.912
2018-01-04,2.919
2018-01-05,2.933
2018-01-08,2.944
2018-01-09,2.97
2018-01-10,2.994
2018-01-11,2.991
2018-01-12,3.018
2018-01-15,3.043
2018-01-16,3.064
2018-01-17,3.071
2018-01-18,3.106
2018-01-19,3.113
2018-01-22,3.129
2018-01-23,3.173
2018-01-24,3.172
2018-01-25,3.15
2018-01-26,3.171
2018-01-29,3.114
2018-01-30,3.075
2018-01-31,3.113
2018-02-01,3.134
2018-02-02,3.145
2018-02-05,3.18
2018-02-06,3.11
2018-02-07,3.023
2018-02-08,2.939
2018-02-09,2.803
2018-02-12,2.8
2018-02-13,2.848
2018-02-14,2.866
2018-02-22,2.925
2018-02-23,2.955
2018-02-26,2.965
2018-02-27,2.92
2018-02-28,2.871
2018-03-01,2.884
2018-03-02,2.856
2018-03-05,2.855
2018-03-06,2.888
2018-03-07,2.871
2018-03-08,2.893
2018-03-09,2.903
2018-03-12,2.905
2018-03-13,2.873
2018-03-14,2.863
2018-03-15,2.89
2018-03-16,2.862
2018-03-19,2.892
2018-03-20,2.895
2018-03-21,2.884
2018-03-22,2.857
2018-03-23,2.781
2018-03-26,2.734
2018-03-27,2.739
2018-03-28,2.688
2018-03-29,2.734
2018-03-30,2.713
2018-04-02,2.702
2018-04-03,2.693
2018-04-04,2.694
2018-04-09,2.711
2018-04-10,2.775
2018-04-11,2.775
2018-04-12,2.742
2018-04-13,2.717
2018-04-16,2.655
2018-04-17,2.626
2018-04-18,2.643
2018-04-19,2.676
2018-04-20,2.637
2018-04-23,2.658
2018-04-24,2.718
2018-04-25,2.693
2018-04-26,2.655
2018-04-27,2.642
2018-05-02,2.646
2018-05-03,2.654
2018-05-04,2.634
2018-05-07,2.674
2018-05-08,2.714
2018-05-09,2.711
2018-05-10,2.723
2018-05-11,2.716
2018-05-14,2.745
2018-05-15,2.74
2018-05-16,2.705
2018-05-17,2.689
2018-05-18,2.733
2018-05-21,2.736
2018-05-22,2.717
2018-05-23,2.672
2018-05-24,2.655
2018-05-25,2.654
2018-05-28,2.668
2018-05-29,2.655
2018-05-30,2.601
2018-05-31,2.651
2018-06-01,2.643
2018-06-04,2.686
2018-06-05,2.696
2018-06-06,2.686
2018-06-07,2.694
2018-06-08,2.652
2018-06-11,2.663
2018-06-12,2.688
2018-06-13,2.672
2018-06-14,2.675
2018-06-15,2.678
2018-06-19,2.612
2018-06-20,2.61
2018-06-21,2.592
2018-06-22,2.598
2018-06-25,2.548
2018-06-26,2.52
2018-06-27,2.465
2018-06-28,2.441
2018-06-29,2.495
2018-07-02,2.402
2018-07-03,2.41
2018-07-04,2.39
2018-07-05,2.391
2018-07-06,2.425
2018-07-09,2.496
2018-07-10,2.493
2018-07-11,2.454
2018-07-12,2.505
2018-07-13,2.509
2018-07-16,2.49
2018-07-17,2.475
2018-07-18,2.463
2018-07-19,2.474
2018-07-20,2.54
2018-07-23,2.569
2018-07-24,2.61
2018-07-25,2.609
2018-07-26,2.575
2018-07-27,2.575
2018-07-30,2.587
2018-07-31,2.595
2018-08-01,2.537
2018-08-02,2.484
2018-08-03,2.457
2018-08-06,2.455
2018-08-07,2.53
2018-08-08,2.494
2018-08-09,2.551
2018-08-10,2.551
2018-08-13,2.526
2018-08-14,2.518
2018-08-15,2.454
2018-08-16,2.453
2018-08-17,2.42
2018-08-20,2.458
2018-08-21,2.496
2018-08-22,2.499
2018-08-23,2.509
2018-08-24,2.523
2018-08-27,2.571
2018-08-28,2.56
2018-08-29,2.553
2018-08-30,2.533
2018-08-31,2.521
2018-09-03,2.512
2018-09-04,2.55
2018-09-05,2.487
2018-09-06,2.466
2018-09-07,2.491
2018-09-10,2.466
2018-09-11,2.449
2018-09-12,2.432
2018-09-13,2.466
2018-09-14,2.475
2018-09-17,2.452
2018-09-18,2.513
2018-09-19,2.538
2018-09-20,2.541
2018-09-21,2.632
2018-09-25,2.6
2018-09-26,2.638
2018-09-27,2.628
2018-09-28,2.659
2018-10-08,2.533
2018-10-09,2.545
2018-10-10,2.545
2018-10-11,2.439
2018-10-12,2.494
2018-10-15,2.463
2018-10-16,2.467
2018-10-17,2.477
2018-10-18,2.419
2018-10-19,2.491
2018-10-22,2.599
2018-10-23,2.511
2018-10-24,2.525
2018-10-25,2.531
2018-10-26,2.516
2018-10-29,2.431
2018-10-30,2.463
2018-10-31,2.496
2018-11-01,2.507
2018-11-02,2.594
2018-11-05,2.558
2018-11-06,2.546
2018-11-07,2.528
2018-11-08,2.537
2018-11-09,2.48
2018-11-12,2.49
2018-11-13,2.509
2018-11-14,2.475
2018-11-15,2.505
2018-11-16,2.507
2018-11-19,2.54
2018-11-20,2.498
2018-11-21,2.497
2018-11-22,2.483
2018-11-23,2.442
2018-11-26,2.45
2018-11-27,2.439
2018-11-28,2.466
2018-11-29,2.453
2018-11-30,2.474
2018-12-03,2.482
2018-12-04,2.49
2018-12-05,2.479
2018-12-06,2.433
2018-12-07,2.425
2018-12-10,2.408
2018-12-11,2.413
2018-12-12,2.419
2018-12-13,2.453
2018-12-14,2.423
2018-12-17,2.42
2018-12-18,2.391
2018-12-19,2.365
2018-12-20,2.331
2018-12-21,2.302
2018-12-24,2.304
2018-12-25,2.292
2018-12-26,2.275
2018-12-27,2.275
2018-12-28,2.286
