method,alpha,sigma,mse,timestamp
grid_search,0.9800000000000004,0.16999999999999998,35.12393231075796,2026-08-05 21:54:45.189584
nelder_mead,0.9999999999983729,0.17256914301834086,34.647343794973345,2026-08-05 21:54:45.189584
black_scholes,1.0,0.17256912231445318,34.64734379491179,2026-08-05 21:54:45.189584
