date,S0,r,q,n,a_nq,s_nq,imp_nq,a_q,s_q,imp_q
2018-01-02,2.907,0.043247903,0.04074265610553191,92,1.0,0.16024187918985267,-2.2771026802130288e-10,0.8858996811881636,0.08737695323303316,3.1803658349892183
2018-01-03,2.912,0.0467801615,-0.004262274843270866,96,0.97855933341055,0.1099522932067642,49.49152707702379,1.0,0.1554114758144715,9.55230042250517e-09
2018-01-04,2.919,0.046906146999999995,0.0014261990769578597,96,1.0,0.15287704212147218,6.195137398452655e-11,1.0,0.15306700827179387,4.026228275641595e-10
2018-01-05,2.933,0.047019355,0.01645911895856239,96,1.0,0.15059429468397872,5.469230574422016e-10,1.0,0.15294327835776872,5.826489802278809e-11
2018-01-08,2.944,0.047508817499999995,0.019095773144531966,100,0.9918201160101756,0.1211155932530831,25.502543193869965,0.9464798498153687,0.09477403879165651,45.51349367884655
2018-01-09,2.97,0.047630968,0.040600290122550536,99,1.0,0.15104628290889993,1.1127124274936597e-09,0.7900313272327177,0.0675195516273379,20.02251167230402
2018-01-10,2.994,0.0446710325,0.0396367798188243,100,1.0,0.14790221837829448,1.0144718151444163e-08,0.8187259556353087,0.07017995871603482,9.406518769024064
2018-01-11,2.991,0.0459303385,0.0027998249385509737,104,0.9822388908742867,0.10898327427829928,40.37022184421282,1.0,0.15245837444061183,6.334558067624531e-10
2018-01-12,3.018,0.046639527,0.04086404975914619,104,1.0,0.14874538425821815,1.0752592587440772e-08,1.0,0.15577241528351807,4.884945855676861e-09
2018-01-15,3.043,0.049869667,0.03861441642967682,105,1.0,0.15523939659004105,4.198972468888789e-08,0.8103487960947664,0.07093348577385784,28.80030490534884
2018-01-16,3.064,0.047734839,0.03429873425852417,104,1.0,0.1632833730712645,5.259807519603431e-08,0.8379584898054598,0.0774837425351142,33.40781118757837
2018-01-17,3.071,0.049050968,0.013057047257725303,109,1.0,0.17956016786396506,3.780603102502569e-10,0.9435966226458578,0.10687892064452167,36.044161319358444
2018-01-18,3.106,0.045011935,0.031292777347731254,80,1.0,0.18752386793494222,3.574581684385505e-08,0.8441863907128567,0.0900173024460673,29.492718258020943
2018-01-19,3.113,0.050273548,0.008141900083810613,80,1.0,0.19963523306916614,9.017687168612965e-10,0.9615090125799182,0.12733102411031733,46.01269048921013
2018-01-22,3.129,0.05449,0.03345106554066872,80,1.0,0.19654526997892388,1.5371427415407173e-09,0.8936842346191409,0.10468879699707029,37.88335782091846
2018-01-23,3.173,0.048210645,0.036041139686283905,80,1.0,0.19444233841961256,1.1959788843105803e-09,0.86656670719385,0.09848781421780589,16.99484642514184
2018-01-24,3.172,0.049390968,-0.009395233367974399,84,0.9986225721891974,0.20928886712994427,9.271666957377397,1.0,0.20833501639368485,1.6714192045063877e-10
2018-01-25,3.15,0.046729032,-0.026232633680039728,83,0.9523850977420808,0.12707015454769133,59.6004581416152,1.0,0.206354598304024,3.2856692582427233e-10
2018-01-26,3.171,0.04672,0.012654825075973241,81,1.0,0.19309679228572357,1.5455770620302924e-09,0.9582245457172397,0.12289117157459264,34.73012981611527
2018-01-29,3.114,0.047328,0.0,80,0.8925730705261231,0.09732567787170408,81.53072913968228,0.8925730705261231,0.09732567787170408,81.53072913968228
2018-01-30,3.075,0.046986,-0.04673070021264909,81,0.9251327705383303,0.10309879302978517,72.03967574319304,1.0,0.18452866537263626,3.1747708194280353e-09
2018-01-31,3.113,0.045488333,0.04084307445692044,79,1.0,0.17563447556992295,3.079203830782043e-10,1.0,0.18173984188586484,1.3238506089487757e-08
2018-02-01,3.134,0.044812,0.021263895156686245,77,1.0,0.17076748842745454,1.2454471951197525e-09,1.0,0.1732225283951266,-1.6315179506783635e-09
2018-02-02,3.145,0.043347,0.007024268534747611,77,1.0,0.17236353509669242,2.972076050074088e-09,1.0,0.17323309234780032,3.258928479426265e-09
2018-02-05,3.18,0.04112,0.035536396234514954,76,1.0,0.18065620563924317,8.314165167747853e-09,1.0,0.18455108433961875,1.3261493986219977e-08
2018-02-06,3.11,0.040651333,-0.04342896667257619,79,0.9503105646371841,0.12906117051839838,90.39852958541067,1.0,0.20834629654302264,1.1515543412944881e-09
2018-02-07,3.023,0.042778,0.0,83,0.8534969139099123,0.109624263048172,91.80300463941555,0.8534969139099123,0.109624263048172,91.80300463941555
2018-02-08,2.939,0.040041,0.0,83,0.8854528223897754,0.12576892687124233,89.84542427156313,0.8854528223897754,0.12576892687124233,89.84542427156313
2018-02-09,2.803,0.042882667,-0.03570620938093178,84,0.9330747726559646,0.18793404154479512,85.24776983283543,1.0,0.3201274655640008,-2.209689258599474e-09
2018-02-12,2.8,0.041334667,0.06545550851611437,87,1.0,0.3314251972873171,3.6316462054434692e-09,1.0,0.33015400379896165,4.096383296322226e-09
2018-02-13,2.848,0.040156,0.09648648672891971,86,1.0,0.28181739125051525,3.863923234198409e-11,1.0,0.2826907646725886,2.885086157223758e-09
2018-02-14,2.866,0.038188,0.04708063390361797,85,1.0,0.27773822121938574,2.85652561980227e-09,1.0,0.27930549144744876,2.1828661912923697e-09
2018-02-22,2.925,0.037254,0.09534373700290394,58,1.0,0.27180867756720767,6.333159433452819e-09,1.0,0.277027168124914,3.905800596363844e-08
2018-02-23,2.955,0.038534,0.09295459105196577,58,1.0,0.22648888996336608,6.2760411858318e-12,1.0,0.2325685500982218,5.020400992417652e-10
2018-02-26,2.965,0.04245,0.023626453914041834,58,1.0,0.2273603075445862,1.2061011661861056e-10,1.0,0.2291849017143247,2.7421529404578093e-10
2018-02-27,2.92,0.04551,-0.04747665883167894,58,1.0,0.24597949386952683,1.5994270344880898e-10,1.0,0.2420612678771476,1.3268138373512606e-09
2018-02-28,2.871,0.046238065,-0.04041848085834627,58,1.0,0.2558511069853239,1.7963514545003106e-08,1.0,0.2536751659528818,-5.925131293167749e-08
2018-03-01,2.884,0.038950645,0.08601132022907833,76,1.0,0.23654095731776575,3.413349042164185e-11,1.0,0.24046876866063938,1.8695994890449547e-10
2018-03-02,2.856,0.045189032,-0.012146482060491418,78,1.0,0.23327401260739145,1.6699992845317734e-10,1.0,0.23290670414871778,1.4416346587078187e-10
2018-03-05,2.855,0.04302871,0.00672335764590752,76,1.0,0.2236032309336588,1.214406809445459e-07,1.0,0.2237551182491006,1.4382675854541466e-07
2018-03-06,2.888,0.045466129,0.07007893999398415,76,1.0,0.20887473768892964,8.431454442011555e-08,1.0,0.21111245835199954,1.1681365914857331e-06
2018-03-07,2.871,0.04608,-0.019705049020847756,78,1.0,0.21116267899749808,8.22583304367733e-07,1.0,0.21042309263022624,8.359354585318464e-07
2018-03-08,2.893,0.036298889,0.0640031232289911,76,1.0,0.20719864869490268,7.035712756441038e-08,1.0,0.2094388863618224,4.870965178509488e-07
2018-03-09,2.903,0.044122222,0.01916376596014495,76,1.0,0.2010952327740233,5.4569663494426055e-08,1.0,0.20205131979659202,8.71005420141921e-08
2018-03-12,2.905,0.046453333,-0.02085374908126424,75,1.0,0.2087684984199586,2.265979932115812e-07,1.0,0.20764765013602304,1.559615809878758e-07
2018-03-13,2.873,0.046286667,-0.01855591932925687,75,1.0,0.21880728868767613,-4.530828924895115e-08,1.0,0.21812723813578488,-4.0885157939854925e-07
2018-03-14,2.863,0.03722,0.0025613722624730885,74,1.0,0.21378180676780176,7.297845289046848e-07,1.0,0.213830279186368,1.523456757300265e-07
2018-03-15,2.89,0.036712857,0.14239972368524234,71,1.0,0.20480082719995152,4.810621879385766e-09,1.0,0.20833584335370692,5.255735214268194e-08
2018-03-16,2.862,0.040424286,-0.03485279307999502,71,0.9414845466613775,0.12177197456359862,63.29587621145865,1.0,0.20592076195753184,-2.4946309030708888e-08
2018-03-19,2.892,0.03401,0.21585154238375676,70,1.0,0.2117499052337371,4.9098537224580115e-08,1.0,0.21715964993325085,3.810433577317145e-10
2018-03-20,2.895,0.03627,0.09959023460092022,69,1.0,0.20806168170784073,2.263386237672429e-08,1.0,0.21192487273365265,1.0706878624923731e-07
2018-03-21,2.884,0.02969,-0.022871410599468255,69,0.9506872272491459,0.12997142314910892,47.887602201150905,1.0,0.21188122734660286,1.7731368986991454e-07
2018-03-22,2.857,0.048662,-0.017032727030412326,20,1.0,0.21173903894232354,7.945218933882238e-07,1.0,0.21132295038492888,1.3417927318905118e-06
2018-03-23,2.781,0.0437,0.08011551517070045,20,1.0,0.2727722153533251,8.99341528821932e-08,1.0,0.2680846187751739,2.8959053823814467e-07
2018-03-26,2.734,0.04939,0.07251242251864312,22,1.0,0.2864057688805041,2.5318938230343695e-08,1.0,0.2812570363283157,4.382143111223069e-07
2018-03-27,2.739,0.047411613,0.0034591934669112212,24,1.0,0.24621199597459048,-2.604194781020403e-09,1.0,0.24608519505309234,3.7934518319208236e-10
2018-03-28,2.688,0.049745161,0.005892147710185482,24,1.0,0.2567753995303065,-1.256954198575318e-07,1.0,0.25640675649046896,-3.6089072711919486e-05
2018-03-29,2.734,0.046474839,0.08767091704106691,98,1.0,0.2594962740316987,-1.2278551725975484e-06,1.0,0.25107673849470297,2.212127074507639e-08
2018-03-30,2.713,0.046536452,0.009329098789406243,100,1.0,0.24709350476568942,9.396252892098094e-08,1.0,0.2463357811160677,-4.221394880349537e-10
2018-04-02,2.702,0.044193548,0.02487533951535128,100,1.0,0.2561587228491248,1.6210821470512427e-08,1.0,0.25360793513245883,-5.147435314285961e-07
2018-04-03,2.693,0.040415806,0.03375089552733143,100,1.0,0.2559183426554227,9.179668194925316e-10,1.0,0.25199886664049703,3.40237891109417e-09
2018-04-04,2.694,0.042147097,0.01412459847078224,100,1.0,0.24540479987044816,-7.815315647960985e-08,1.0,0.24397618507250624,5.471164603093986e-10
2018-04-09,2.711,0.042221935,0.03726729059124211,100,1.0,0.2549801660239609,1.5106132851272879e-09,1.0,0.25142880023270203,4.846660684484435e-09
2018-04-10,2.775,0.04166129,0.07382499467325772,100,1.0,0.2492981471131543,1.6128054770756342e-10,1.0,0.24506093084855823,-8.022482213347543e-10
2018-04-11,2.775,0.041059677,0.014000988133148758,102,1.0,0.23992888918758126,3.600625318683031e-10,1.0,0.23943247276024518,7.57669431465213e-10
2018-04-12,2.742,0.044009677,-0.01430645691949405,101,1.0,0.24565544711513213,1.1630393376104277e-10,1.0,0.2464041451457888,-6.478294413845495e-09
2018-04-13,2.717,0.043085484,-0.02237410164805337,101,1.0,0.24789192513380842,1.0142612598940063e-09,1.0,0.24949194863602311,1.9829127314419827e-09
2018-04-16,2.655,0.040290323,-0.043954103537647435,100,1.0,0.25716147275197726,8.528029006112931e-10,1.0,0.2625076369363796,1.857954406953751e-09
