method,alpha,sigma,mse,timestamp
grid_search,0.9800000000000004,0.15,0.001141552661789359,2026-08-04 21:46:59.789986
nelder_mead,0.9999999278786682,0.15167157421290176,0.0011096549879120218,2026-08-04 21:46:59.789986
black_scholes,1.0,0.1516601562500001,0.0011096548723587766,2026-08-04 21:46:59.789986
