type,K,T,T_days,expiry,bid,ask,V_market,volume,open_interest,iv,S0,r,V_model,mispricing,mispricing_pct,abs_mispricing
put,910.0,0.3671232876712328,134,2026-12-18,242.52,247.5,245.01,1,0,0.8364731929016112,775.6300048828125,0.043,123.21723420988849,121.7927657901115,49.70930402437105,121.7927657901115
put,850.0,0.2904109589041095,106,2026-11-20,109.23,112.51,110.87,19,0,0.3927749321746826,775.6300048828125,0.043,71.66053959610292,39.20946040389708,35.365256971134734,39.20946040389708
put,930.0,0.3671232876712328,134,2026-12-18,176.39,179.69,178.04,1,0,0.3870300555419921,775.6300048828125,0.043,141.7331159735612,36.30688402643878,20.392543263558068,36.30688402643878
put,865.0,0.2904109589041095,106,2026-11-20,118.14,118.14,118.14,1,0,1.0000000000000004e-05,775.6300048828125,0.043,84.15071891073194,33.98928108926806,28.7703411962655,33.98928108926806
put,895.0,0.1945205479452054,71,2026-10-16,145.67,145.67,145.67,2,0,1.0000000000000004e-05,775.6300048828125,0.043,112.78492826982529,32.8850717301747,22.57504752534819,32.8850717301747
put,860.0,0.3671232876712328,134,2026-12-18,106.48,109.73,108.105,1,0,0.2925256905364989,775.6300048828125,0.043,79.97619721164494,28.12880278835506,26.019890651084648,28.12880278835506
put,825.0,0.3671232876712328,134,2026-12-18,81.68,81.68,81.68,2,0,1.0000000000000004e-05,775.6300048828125,0.043,53.87710629912215,27.80289370087786,34.03880227825399,27.80289370087786
put,840.0,0.3671232876712328,134,2026-12-18,88.26,91.55,89.905,4,0,0.2717281690216064,775.6300048828125,0.043,64.52649673275619,25.378503267243815,28.22813332656005,25.378503267243815
put,830.0,0.1945205479452054,71,2026-10-16,73.5,73.5,73.5,6,0,1.0000000000000004e-05,775.6300048828125,0.043,54.67431120425579,18.825688795744213,25.61318203502614,18.825688795744213
put,820.0,0.1945205479452054,71,2026-10-16,63.79,67.3,65.545,1,0,0.2916178016662596,775.6300048828125,0.043,47.00134339321653,18.543656606783472,28.291489216238418,18.543656606783472
put,820.0,0.2904109589041095,106,2026-11-20,63.95,67.46,65.705,2,0,0.240592921295166,775.6300048828125,0.043,49.08806536953625,16.616934630463746,25.290213272146328,16.616934630463746
put,900.0,0.3671232876712328,134,2026-12-18,121.93,125.04,123.485,2,0,0.129342202758789,775.6300048828125,0.043,114.16696192570589,9.318038074294108,7.545886605088965,9.318038074294108
put,685.0,0.3671232876712328,134,2026-12-18,8.33,8.39,8.36,1,5946,0.2114794429016113,775.6300048828125,0.043,2.9258589024262776,5.434141097573722,65.0016877700206,5.434141097573722
put,690.0,0.3671232876712328,134,2026-12-18,8.82,8.88,8.850000000000001,3,9642,0.207466421508789,775.6300048828125,0.043,3.4202582558375667,5.429741744162435,61.35301405833259,5.429741744162435
put,680.0,0.3671232876712328,134,2026-12-18,7.85,7.92,7.885,4,11295,0.2154009124755859,775.6300048828125,0.043,2.490371600122664,5.394628399877336,68.41633988430355,5.394628399877336
put,675.0,0.3671232876712328,134,2026-12-18,7.44,7.5,7.470000000000001,104,8106,0.2195207443237304,775.6300048828125,0.043,2.1087741124826707,5.36122588751733,71.77009220237389,5.36122588751733
put,670.0,0.3671232876712328,134,2026-12-18,7.07,7.13,7.1,6,13876,0.223869455718994,775.6300048828125,0.043,1.7761865688085337,5.323813431191466,74.98328776326008,5.323813431191466
put,695.0,0.3671232876712328,134,2026-12-18,9.26,9.32,9.29,208,10761,0.2027515028381347,775.6300048828125,0.043,3.9786943621038375,5.311305637896162,57.172288890163216,5.311305637896162
put,665.0,0.3671232876712328,134,2026-12-18,6.69,6.75,6.720000000000001,3,8247,0.227897735748291,775.6300048828125,0.043,1.4879070653832898,5.232092934616711,77.85852581274867,5.232092934616711
put,700.0,0.3671232876712328,134,2026-12-18,9.8,9.86,9.83,905,22279,0.1985858950805664,775.6300048828125,0.043,4.606350776862641,5.223649223137359,53.13987002174323,5.223649223137359
put,660.0,0.3671232876712328,134,2026-12-18,6.34,6.4,6.37,12,131102,0.2320023089599609,775.6300048828125,0.043,1.2394425036527785,5.130557496347222,80.54250386730331,5.130557496347222
put,705.0,0.3671232876712328,134,2026-12-18,10.39,10.46,10.425,21,2760,0.1946033909606933,775.6300048828125,0.043,5.3084232855240145,5.116576714475986,49.07987256092073,5.116576714475986
put,655.0,0.3671232876712328,134,2026-12-18,6.01,6.07,6.04,36,5053,0.2360916235351562,775.6300048828125,0.043,1.0265343358223618,5.013465664177638,83.00439841353706,5.013465664177638
put,710.0,0.3671232876712328,134,2026-12-18,10.98,11.05,11.015,390,16291,0.1902089036560059,775.6300048828125,0.043,6.090071056450753,4.924928943549247,44.71111160734677,4.924928943549247
put,650.0,0.3671232876712328,134,2026-12-18,5.73,5.78,5.755000000000001,1,11622,0.2404555935668945,775.6300048828125,0.043,0.8451790277318452,4.909820972268156,85.31400473098445,4.909820972268156
put,645.0,0.3671232876712328,134,2026-12-18,5.42,5.47,5.445,112,8271,0.2443465458679199,775.6300048828125,0.043,0.6916431883930265,4.753356811606974,87.29764575954037,4.753356811606974
put,715.0,0.3671232876712328,134,2026-12-18,11.64,11.71,11.675,1,5144,0.1860127786254882,775.6300048828125,0.043,6.956366431705646,4.718633568294354,40.416561612799605,4.718633568294354
call,840.0,0.3671232876712328,134,2026-12-18,8.59,8.65,8.620000000000001,2,5668,0.1559227474975585,775.6300048828125,0.043,13.312876297493517,-4.692876297493516,-54.44172038855587,4.692876297493516
put,640.0,0.3671232876712328,134,2026-12-18,5.17,5.22,5.195,56,11071,0.2487868090820312,775.6300048828125,0.043,0.5624734503396489,4.632526549660351,89.17279210125795,4.632526549660351
call,835.0,0.3671232876712328,134,2026-12-18,9.97,10.04,10.005,1,8732,0.1586998193359375,775.6300048828125,0.043,14.588653176255718,-4.5836531762557176,-45.81362495008213,4.5836531762557176
call,830.0,0.3671232876712328,134,2026-12-18,11.35,11.42,11.385,3,10878,0.1605766316223144,775.6300048828125,0.043,15.959241894525377,-4.574241894525377,-40.17779441831688,4.574241894525377
call,825.0,0.3671232876712328,134,2026-12-18,12.86,12.95,12.905,101,13345,0.1626518061828613,775.6300048828125,0.043,17.428550601682332,-4.523550601682333,-35.05269741714322,4.523550601682333
put,720.0,0.3671232876712328,134,2026-12-18,12.39,12.46,12.425,3,5245,0.1820913090515136,775.6300048828125,0.043,7.912244262079298,4.512755737920703,36.31996569755093,4.512755737920703
call,820.0,0.3671232876712328,134,2026-12-18,14.48,14.56,14.52,9,13083,0.1644828425598144,775.6300048828125,0.043,19.000318315325558,-4.480318315325558,-30.85618674466638,4.480318315325558
put,690.0,0.2904109589041095,106,2026-11-20,6.77,6.82,6.795,1,5827,0.211998236541748,775.6300048828125,0.043,2.3242518334653255,4.470748166534674,65.79467500418947,4.470748166534674
put,685.0,0.2904109589041095,106,2026-11-20,6.37,6.43,6.4,54,5744,0.2166521206665039,775.6300048828125,0.043,1.9355842970630874,4.464415702936913,69.75649535838926,4.464415702936913
put,635.0,0.3671232876712328,134,2026-12-18,4.89,4.94,4.915,26,5468,0.2526625027465821,775.6300048828125,0.043,0.45450131037512875,4.460498689624871,90.75277089775933,4.460498689624871
put,695.0,0.2904109589041095,106,2026-11-20,7.18,7.25,7.215,152,1519,0.2074359042358398,775.6300048828125,0.043,2.773822581591048,4.441177418408952,61.554780573928646,4.441177418408952
call,845.0,0.3671232876712328,134,2026-12-18,7.67,7.74,7.705,1,4259,0.1558464543151855,775.6300048828125,0.043,12.127870628023686,-4.422870628023686,-57.40260386792584,4.422870628023686
put,680.0,0.2904109589041095,106,2026-11-20,5.99,6.05,6.02,5,1911,0.2211229011535644,775.6300048828125,0.043,1.6017266779265356,4.418273322073464,73.39324455271536,4.418273322073464
put,700.0,0.2904109589041095,106,2026-11-20,7.65,7.72,7.685,23,19146,0.2029498651123046,775.6300048828125,0.043,3.290592175657082,4.394407824342918,57.18162425950446,4.394407824342918
call,815.0,0.3671232876712328,134,2026-12-18,16.29,16.35,16.32,2,11778,0.166649568939209,775.6300048828125,0.043,20.67807765853871,-4.358077658538711,-26.703907221438183,4.358077658538711
put,630.0,0.3671232876712328,134,2026-12-18,4.66,4.71,4.6850000000000005,56,12899,0.2569959555053711,775.6300048828125,0.043,0.36484325234834003,4.3201567476516605,92.21252396268218,4.3201567476516605
put,675.0,0.2904109589041095,106,2026-11-20,5.59,5.65,5.62,1,2565,0.2250291120910644,775.6300048828125,0.043,1.3168417293565824,4.303158270643418,76.56865250255191,4.303158270643418
put,705.0,0.2904109589041095,106,2026-11-20,8.13,8.2,8.165,1,2976,0.1981891705322265,775.6300048828125,0.043,3.8809972646832023,4.284002735316797,52.46788408226328,4.284002735316797
call,810.0,0.2904109589041095,106,2026-11-20,13.79,13.87,13.829999999999998,3085,7500,0.1611106838989258,775.6300048828125,0.043,18.112935161823543,-4.282935161823545,-30.9684393479649,4.282935161823545
put,855.0,0.3671232876712328,134,2026-12-18,79.0,81.49,80.245,1,0,0.1156857231140136,775.6300048828125,0.043,75.99224515110893,4.2527548488910725,5.299713189471085,4.2527548488910725
call,850.0,0.3671232876712328,134,2026-12-18,6.77,6.84,6.805,27,12120,0.1552055915832519,775.6300048828125,0.043,11.02949863421378,-4.224498634213781,-62.07933334627158,4.224498634213781
put,670.0,0.2904109589041095,106,2026-11-20,5.27,5.32,5.295,3,2968,0.2294693753051758,775.6300048828125,0.043,1.0753935495860816,4.219606450413918,79.69039566409667,4.219606450413918
put,725.0,0.3671232876712328,134,2026-12-18,13.14,13.22,13.18,265,2741,0.1778646667480468,775.6300048828125,0.043,8.962451714327273,4.217548285672727,31.99960763029383,4.217548285672727
call,810.0,0.3671232876712328,134,2026-12-18,18.26,18.33,18.295,3,8551,0.1691977612304687,775.6300048828125,0.043,22.465117499091946,-4.170117499091944,-22.793755119387505,4.170117499091944
put,625.0,0.3671232876712328,134,2026-12-18,4.42,4.47,4.445,800,24104,0.2610242355346679,775.6300048828125,0.043,0.29089656887476245,4.154103431125238,93.45564524466226,4.154103431125238
put,710.0,0.2904109589041095,106,2026-11-20,8.65,8.72,8.685,3,2502,0.1934589932250977,775.6300048828125,0.043,4.551547637477498,4.133452362522503,47.593003598416836,4.133452362522503
call,690.0,0.3671232876712328,134,2026-12-18,102.37,105.57,103.97,11,3520,0.2910990080261229,775.6300048828125,0.043,99.85728519880263,4.11271480119737,3.955674522648235,4.11271480119737
put,665.0,0.2904109589041095,106,2026-11-20,4.95,5.0,4.975,79,511,0.2337417935180664,775.6300048828125,0.043,0.8721839646346083,4.102816035365391,82.46866402744506,4.102816035365391
call,855.0,0.3671232876712328,134,2026-12-18,5.88,5.95,5.915,88,3710,0.1539391247558593,775.6300048828125,0.043,10.013559978023494,-4.098559978023494,-69.29095482710895,4.098559978023494
call,685.0,0.3671232876712328,134,2026-12-18,106.74,109.94,108.34,4,2877,0.2965463412475585,775.6300048828125,0.043,104.28457409133227,4.055425908667729,3.74323971632613,4.055425908667729
call,680.0,0.3671232876712328,134,2026-12-18,111.21,114.41,112.81,8,4771,0.3025429853820801,775.6300048828125,0.043,108.77077503496946,4.039224965030542,3.5805557707920768,4.039224965030542
call,820.0,0.2904109589041095,106,2026-11-20,10.83,10.9,10.865,1,1217,0.1593406820678711,775.6300048828125,0.043,14.89428978011128,-4.029289780111279,-37.08504169453547,4.029289780111279
put,660.0,0.2904109589041095,106,2026-11-20,4.69,4.74,4.715,7,10585,0.2385330053710937,775.6300048828125,0.043,0.7023797883300738,4.012620211669926,85.10329186998783,4.012620211669926
call,825.0,0.2904109589041095,106,2026-11-20,9.44,9.48,9.46,3,3835,0.1575554216003418,775.6300048828125,0.043,13.459927536401835,-3.9999275364018345,-42.28253209727097,3.9999275364018345
call,805.0,0.3671232876712328,134,2026-12-18,20.33,20.43,20.38,15,11274,0.1716925482940674,775.6300048828125,0.043,24.364446049480705,-3.984446049480706,-19.550765699120245,3.984446049480706
put,715.0,0.2904109589041095,106,2026-11-20,9.25,9.32,9.285,6,6980,0.1890339886474609,775.6300048828125,0.043,5.308753107998655,3.9762468920013454,42.824414561134574,3.9762468920013454
call,840.0,0.2904109589041095,106,2026-11-20,5.79,5.86,5.825,342,508,0.151101018371582,775.6300048828125,0.043,9.79821276924406,-3.9732127692440597,-68.20966127457612,3.9732127692440597
call,830.0,0.2904109589041095,106,2026-11-20,8.14,8.2,8.17,3,1421,0.1558464543151855,775.6300048828125,0.043,12.135865333102146,-3.965865333102146,-48.54180334274352,3.965865333102146
call,815.0,0.2904109589041095,106,2026-11-20,12.44,12.52,12.48,5,1020,0.161568442993164,775.6300048828125,0.043,16.44378095105708,-3.9637809510570783,-31.76106531295736,3.9637809510570783
call,795.0,0.1945205479452054,71,2026-10-16,13.47,13.54,13.505,32,6489,0.1558311956787109,775.6300048828125,0.043,17.45451971540166,-3.9495197154016584,-29.24487016217444,3.9495197154016584
put,730.0,0.3671232876712328,134,2026-12-18,13.99,14.07,14.03,4,11222,0.17383638671875,775.6300048828125,0.043,10.111499474064829,3.918500525935171,27.9294406695308,3.918500525935171
call,860.0,0.3671232876712328,134,2026-12-18,5.14,5.19,5.165,1,5219,0.1530388652038574,775.6300048828125,0.043,9.075823792618479,-3.910823792618479,-75.71778882126775,3.910823792618479
call,665.0,0.3671232876712328,134,2026-12-18,124.86,128.01,126.435,1,1641,0.3210364527893066,775.6300048828125,0.043,122.53337523805294,3.901624761947062,3.0858739763096152,3.901624761947062
put,655.0,0.2904109589041095,106,2026-11-20,4.43,4.48,4.455,328,11093,0.2431105963134765,775.6300048828125,0.043,0.5615310379176819,3.893468962082318,87.3954873643618,3.893468962082318
call,865.0,0.3671232876712328,134,2026-12-18,4.29,4.35,4.32,1,856,0.1505822247314453,775.6300048828125,0.043,8.212058850790271,-3.8920588507902707,-90.09395487940441,3.8920588507902707
call,835.0,0.2904109589041095,106,2026-11-20,6.99,7.06,7.025,83,518,0.1542748147583008,775.6300048828125,0.043,10.917039882485398,-3.8920398824853972,-55.40270295352878,3.8920398824853972
call,805.0,0.1945205479452054,71,2026-10-16,9.98,10.04,10.01,3,1808,0.1531304170227051,775.6300048828125,0.043,13.81317951309319,-3.8031795130931894,-37.99380132960229,3.8031795130931894
call,810.0,0.1945205479452054,71,2026-10-16,8.42,8.48,8.45,92,5856,0.1512230874633789,775.6300048828125,0.043,12.221133508681675,-3.7711335086816753,-44.62879891930977,3.7711335086816753
call,805.0,0.2904109589041095,106,2026-11-20,16.12,16.2,16.16,47,2330,0.1661460339355469,775.6300048828125,0.043,19.90593134415616,-3.7459313441561584,-23.180268218788108,3.7459313441561584
put,720.0,0.2904109589041095,106,2026-11-20,9.86,9.93,9.895,419,6327,0.1842732940673828,775.6300048828125,0.043,6.159046674707639,3.7359533252923605,37.75597094787631,3.7359533252923605
put,650.0,0.2904109589041095,106,2026-11-20,4.16,4.2,4.18,6,11780,0.2471083590698242,775.6300048828125,0.043,0.4455804507193939,3.734419549280606,89.34018060479919,3.734419549280606
call,800.0,0.3671232876712328,134,2026-12-18,22.61,22.71,22.66,27,19636,0.1744925080871582,775.6300048828125,0.043,26.37875502314955,-3.7187550231495514,-16.411098954764128,3.7187550231495514
call,650.0,0.3671232876712328,134,2026-12-18,138.7,142.01,140.355,17,3458,0.3416661293029785,775.6300048828125,0.043,136.65571193822439,3.6992880617756043,2.6356653213463037,3.6992880617756043
put,645.0,0.2904109589041095,106,2026-11-20,3.94,3.99,3.965,172,1090,0.25196060546875,775.6300048828125,0.043,0.35086488404081706,3.614135115959183,91.15094870010549,3.614135115959183
call,845.0,0.2904109589041095,106,2026-11-20,5.15,5.21,5.18,1,675,0.1519707606506348,775.6300048828125,0.043,8.774027673244518,-3.5940276732445184,-69.38277361475905,3.5940276732445184
call,799.0,0.1945205479452054,71,2026-10-16,12.3,12.37,12.335,505,1065,0.1571892143249512,775.6300048828125,0.043,15.922785319376374,-3.5877853193763727,-29.086220667826286,3.5877853193763727
