label,alpha,sigma,mse,bs_sigma,bs_mse,improvement_pct
全部(过滤),0.9999999985717087,0.21547884771826056,0.11676045961943013,0.21549383708702086,0.11676044370290077,-1.3631782180354744e-05
2026-08-26(20d),1.0,0.21000000000000002,0.14251019425770978,0.21380168564399904,0.14158409918093,-0.6540953978146303
2026-09-23(48d),1.0,0.22000000000000003,0.08882502519122074,0.21711274485943735,0.08811616453595127,-0.8044615411968541
ATM(±5%),1.0,0.19,0.011748608322460805,0.19124364911869707,0.011668814254738208,-0.6838232744187932
OTM(>5%),0.9999999111415715,0.22518341636553135,0.1604737718449732,0.22518320869465525,0.16047376982871958,-1.2564381148823772e-06
全部(二阶修正),0.8334081541247437,0.16713579884258797,0.10299600165133929,0.21549383708702086,0.11676044370290077,11.788617458996105
